[Year],[Month],[geo],[GeoName],[COICOP],[COICOP_Name],[Value]
2018,6,EU27_2020,EU,CP05,Furnishings & household equipment,100.94
2018,6,EU27_2020,EU,CP07,Transport,105.73
2018,6,EU27_2020,EU,CP10,Education,100.77
2018,6,EU27_2020,EU,CP11,Restaurants & hotels,106.95
2018,7,EU27_2020,EU,CP00,All-items HICP,103.86
2018,7,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.3
2018,7,EU27_2020,EU,CP03,Clothing & footwear,91.55
2018,7,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",103.6
2018,7,EU27_2020,EU,CP05,Furnishings & household equipment,100.3
2018,7,EU27_2020,EU,CP07,Transport,106.35
2018,7,EU27_2020,EU,CP10,Education,100.77
2018,7,EU27_2020,EU,CP11,Restaurants & hotels,108.29
2018,8,EU27_2020,EU,CP00,All-items HICP,103.97
2018,8,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.2
2018,8,EU27_2020,EU,CP03,Clothing & footwear,91.65
2018,8,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",103.83
2018,8,EU27_2020,EU,CP05,Furnishings & household equipment,100.5
2018,8,EU27_2020,EU,CP07,Transport,106.85
2018,8,EU27_2020,EU,CP10,Education,99.57
2018,8,EU27_2020,EU,CP11,Restaurants & hotels,108.73
2018,9,EU27_2020,EU,CP00,All-items HICP,104.35
2018,9,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.65
2018,9,EU27_2020,EU,CP03,Clothing & footwear,103.08
2018,9,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",104.23
2018,9,EU27_2020,EU,CP05,Furnishings & household equipment,100.85
2018,9,EU27_2020,EU,CP07,Transport,106.14
2018,9,EU27_2020,EU,CP10,Education,100.35
2018,9,EU27_2020,EU,CP11,Restaurants & hotels,107.63
2018,10,EU27_2020,EU,CP00,All-items HICP,104.62
2018,10,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.84
2018,10,EU27_2020,EU,CP03,Clothing & footwear,105.49
2018,10,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",104.99
2018,10,EU27_2020,EU,CP05,Furnishings & household equipment,101.02
2018,10,EU27_2020,EU,CP07,Transport,106.55
2018,10,EU27_2020,EU,CP10,Education,100.6
2018,10,EU27_2020,EU,CP11,Restaurants & hotels,107.03
2018,11,EU27_2020,EU,CP00,All-items HICP,104.11
2018,11,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.72
2018,11,EU27_2020,EU,CP03,Clothing & footwear,105.95
2018,11,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.3
2018,11,EU27_2020,EU,CP05,Furnishings & household equipment,101.12
2018,11,EU27_2020,EU,CP07,Transport,105.86
2018,11,EU27_2020,EU,CP10,Education,100.67
2018,11,EU27_2020,EU,CP11,Restaurants & hotels,105.87
2018,12,EU27_2020,EU,CP00,All-items HICP,104.08
2018,12,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.96
2018,12,EU27_2020,EU,CP03,Clothing & footwear,105.04
2018,12,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",104.89
2018,12,EU27_2020,EU,CP05,Furnishings & household equipment,101.1
2018,12,EU27_2020,EU,CP07,Transport,104.76
2018,12,EU27_2020,EU,CP10,Education,100.73
2018,12,EU27_2020,EU,CP11,Restaurants & hotels,105.94
2019,1,EU27_2020,EU,CP00,All-items HICP,103.22
2019,1,EU27_2020,EU,CP01,Food & non-alcoholic beverages,105.75
2019,1,EU27_2020,EU,CP03,Clothing & footwear,92.25
2019,1,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.27
2019,1,EU27_2020,EU,CP05,Furnishings & household equipment,100.74
2019,1,EU27_2020,EU,CP07,Transport,103.46
2019,1,EU27_2020,EU,CP10,Education,101.12
2019,1,EU27_2020,EU,CP11,Restaurants & hotels,105.89
2019,2,EU27_2020,EU,CP00,All-items HICP,103.57
2019,2,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.29
2019,2,EU27_2020,EU,CP03,Clothing & footwear,91.93
2019,2,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.44
2019,2,EU27_2020,EU,CP05,Furnishings & household equipment,100.85
2019,2,EU27_2020,EU,CP07,Transport,104.16
2019,2,EU27_2020,EU,CP10,Education,101.15
2019,2,EU27_2020,EU,CP11,Restaurants & hotels,106.27
2019,3,EU27_2020,EU,CP00,All-items HICP,104.5
2019,3,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.13
2019,3,EU27_2020,EU,CP03,Clothing & footwear,102.58
2019,3,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.49
2019,3,EU27_2020,EU,CP05,Furnishings & household equipment,101.19
2019,3,EU27_2020,EU,CP07,Transport,105.05
2019,3,EU27_2020,EU,CP10,Education,101.26
2019,3,EU27_2020,EU,CP11,Restaurants & hotels,106.86
2019,4,EU27_2020,EU,CP00,All-items HICP,105.26
2019,4,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.21
2019,4,EU27_2020,EU,CP03,Clothing & footwear,105.66
2019,4,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.33
2019,4,EU27_2020,EU,CP05,Furnishings & household equipment,101.36
2019,4,EU27_2020,EU,CP07,Transport,106.99
2019,4,EU27_2020,EU,CP10,Education,101.33
2019,4,EU27_2020,EU,CP11,Restaurants & hotels,108.28
2019,5,EU27_2020,EU,CP00,All-items HICP,105.44
2019,5,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.87
2019,5,EU27_2020,EU,CP03,Clothing & footwear,105.87
2019,5,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.34
2019,5,EU27_2020,EU,CP05,Furnishings & household equipment,101.5
2019,5,EU27_2020,EU,CP07,Transport,107.11
2019,5,EU27_2020,EU,CP10,Education,101.28
2019,5,EU27_2020,EU,CP11,Restaurants & hotels,108.9
2019,6,EU27_2020,EU,CP00,All-items HICP,105.57
2019,6,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.87
2019,6,EU27_2020,EU,CP03,Clothing & footwear,104.59
2019,6,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.34
2019,6,EU27_2020,EU,CP05,Furnishings & household equipment,101.46
2019,6,EU27_2020,EU,CP07,Transport,106.9
2019,6,EU27_2020,EU,CP10,Education,100.89
2019,6,EU27_2020,EU,CP11,Restaurants & hotels,109.71
2019,7,EU27_2020,EU,CP00,All-items HICP,105.22
2019,7,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.97
2019,7,EU27_2020,EU,CP03,Clothing & footwear,92.61
2019,7,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.35
2019,7,EU27_2020,EU,CP05,Furnishings & household equipment,100.97
2019,7,EU27_2020,EU,CP07,Transport,107.38
2019,7,EU27_2020,EU,CP10,Education,100.88
2019,7,EU27_2020,EU,CP11,Restaurants & hotels,110.68
2019,8,EU27_2020,EU,CP00,All-items HICP,105.31
2019,8,EU27_2020,EU,CP01,Food & non-alcoholic beverages,107.04
2019,8,EU27_2020,EU,CP03,Clothing & footwear,92.61
2019,8,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.36
2019,8,EU27_2020,EU,CP05,Furnishings & household equipment,101.13
2019,8,EU27_2020,EU,CP07,Transport,107.51
2019,8,EU27_2020,EU,CP10,Education,100.79
2019,8,EU27_2020,EU,CP11,Restaurants & hotels,111.09
2019,9,EU27_2020,EU,CP00,All-items HICP,105.49
2019,9,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.73
2019,9,EU27_2020,EU,CP03,Clothing & footwear,103.48
2019,9,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.47
2019,9,EU27_2020,EU,CP05,Furnishings & household equipment,101.38
2019,9,EU27_2020,EU,CP07,Transport,106.13
2019,9,EU27_2020,EU,CP10,Education,101.53
2019,9,EU27_2020,EU,CP11,Restaurants & hotels,110.08
2019,10,EU27_2020,EU,CP00,All-items HICP,105.67
2019,10,EU27_2020,EU,CP01,Food & non-alcoholic beverages,106.9
2019,10,EU27_2020,EU,CP03,Clothing & footwear,105.95
2019,10,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.76
2019,10,EU27_2020,EU,CP05,Furnishings & household equipment,101.61
2019,10,EU27_2020,EU,CP07,Transport,106.26
2019,10,EU27_2020,EU,CP10,Education,102.14
2019,10,EU27_2020,EU,CP11,Restaurants & hotels,109.48
2019,11,EU27_2020,EU,CP00,All-items HICP,105.42
2019,11,EU27_2020,EU,CP01,Food & non-alcoholic beverages,107.21
2019,11,EU27_2020,EU,CP03,Clothing & footwear,106.47
2019,11,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",105.84
2019,11,EU27_2020,EU,CP05,Furnishings & household equipment,101.76
2019,11,EU27_2020,EU,CP07,Transport,105.89
2019,11,EU27_2020,EU,CP10,Education,102.2
2019,11,EU27_2020,EU,CP11,Restaurants & hotels,108.22
2019,12,EU27_2020,EU,CP00,All-items HICP,105.76
2019,12,EU27_2020,EU,CP01,Food & non-alcoholic beverages,107.57
